#{"t_start": 1764333360.1245508, "env_id": "None"}
r,l,t
29.879995,159,190611.75995
31.59333,169,190628.337698
26.753332,147,190656.219821
36.199997,193,190662.13591
38.79333,200,190671.322977
32.359997,171,190685.726894
32.606667,148,190712.992275
37.78,196,190723.876653
35.906662,183,190734.839199
30.46666,166,190747.505532
23.153332,139,190775.877104
31.746666,166,190790.085102
34.759995,199,190805.180833
17.82,117,190815.340135
34.75333,192,190825.040775
29.71333,195,190858.552721
30.23333,173,190861.242495
16.786667,98,190872.661455
35.073334,184,190879.493077
35.146664,178,190899.711696
35.326668,207,190929.135041
29.999989,171,190930.674122
37.04666,182,190946.87593
23.153336,145,190956.392992
32.16,160,190964.489921
31.839996,158,190974.068756
15.959999,168,191007.046717
36.47333,209,191012.914099
38.640003,185,191043.068625
32.3,161,191044.348686
11.906657,203,191053.229543
29.899998,176,191064.268092
30.079994,186,191077.090744
14.446663,177,191081.837997
26.806667,185,191125.320213
20.439995,200,191127.837551
30.64666,165,191141.515336
34.393333,171,191145.865993
23.906666,130,191152.870822
34.913334,192,191168.991711
28.419998,179,191171.107243
30.50666,192,191194.924758
25.246666,171,191225.468259
37.166664,187,191232.415338
31.68666,167,191238.43575
24.759996,138,191249.903031
34.90666,172,191253.266419
35.753326,198,191264.203024
33.83333,172,191269.017322
33.67333,201,191312.930372
38.673325,197,191352.273941
11.899997,187,191364.714799
13.05333,166,191367.0078
29.28,177,191369.140126
32.053326,208,191370.513247
33.46,165,191375.112507
29.88,172,191384.162184
37.99333,179,191426.796982
32.439995,152,191438.733087
23.26,126,191450.32128
25.76,156,191453.117804
31.133327,170,191466.81636
34.099995,184,191468.238027
40.826664,206,191478.649391
34.933334,202,191481.525858
22.933334,149,191507.4806
19.84,136,191521.677457
36.299995,169,191526.968523
32.586662,214,191567.332994
34.45333,174,191568.389889
28.213326,197,191570.417528
34.73333,184,191577.0039
37.32,214,191578.946537
26.899998,169,191592.591249
28.919994,141,191598.950032
30.54,169,191606.050343
22.893332,134,191634.521488
29.113329,160,191645.820057
28.993334,151,191650.079294
38.22666,188,191657.243482
24.566664,142,191671.106099
35.493324,202,191674.827375
12.006666,172,191679.482428
28.55333,185,191704.722067
7.26,119,191718.827294
33.659992,194,191745.324074
15.306667,127,191754.914642
24.733334,136,191756.440065
36.459995,186,191756.441066
31.52,165,191758.299742
12.826661,200,191796.542483
32.79333,179,191808.29265
35.91333,185,191821.240336
28.3,152,191826.087589
25.459997,139,191827.53225
28.486664,148,191836.732194
26.033335,153,191836.733201
38.713333,200,191857.68866
29.11333,168,191881.428172
26.893333,139,191900.128376
17.906664,180,191902.979413
33.36666,167,191909.304645
32.699997,165,191912.715824
31.686665,167,191921.144621
35.226665,212,191943.091911
26.099998,146,191956.890827
43.433334,249,191990.289083
26.139996,157,192002.53335
11.533333,101,192004.923734
37.23999,192,192006.973229
14.706669,193,192012.53862
26.49333,165,192019.019953
36.886658,197,192022.508348
11.639999,105,192077.16003
32.993324,189,192081.249188
11.293334,139,192084.748577
26.373335,143,192114.92514
28.179996,159,192120.840454
23.660004,185,192122.290673
32.52666,187,192127.812354
45.759995,223,192149.044331
39.28667,186,192186.079475
31.739998,177,192187.748422
37.506664,187,192191.744679
34.899998,171,192216.709778
8.426663,156,192218.006186
32.073326,167,192219.354895
27.746658,200,192241.029836
